,level_0,level_1,neg,pos,Percent_positive
0,Bloomberg,Bernie,2,,
1,Bloomberg,Biden,4,3.0,0.42857142857142855
2,Bloomberg,Kamala,1,,
3,Bloomberg,Warren,4,4.0,0.5
4,Breitbart News,Bernie,440,388.0,0.46859903381642515
5,Breitbart News,Biden,1428,1359.0,0.4876210979547901
6,Breitbart News,Kamala,170,179.0,0.5128939828080229
7,Breitbart News,Warren,494,383.0,0.43671607753705816
8,CNN,Bernie,243,207.0,0.46
9,CNN,Biden,896,799.0,0.4713864306784661
10,CNN,Kamala,98,80.0,0.449438202247191
11,CNN,Warren,344,284.0,0.45222929936305734
12,Fox News,Bernie,458,349.0,0.43246592317224286
13,Fox News,Biden,1958,1943.0,0.4980774160471674
14,Fox News,Kamala,219,159.0,0.42063492063492064
15,Fox News,Warren,578,430.0,0.42658730158730157
16,Google News,Bernie,20,15.0,0.42857142857142855
17,Google News,Biden,16,12.0,0.42857142857142855
18,Google News,Kamala,1,5.0,0.8333333333333334
19,Google News,Warren,27,15.0,0.35714285714285715
20,MSNBC,Bernie,28,24.0,0.46153846153846156
21,MSNBC,Biden,101,106.0,0.5120772946859904
22,MSNBC,Kamala,5,12.0,0.7058823529411765
23,MSNBC,Warren,26,19.0,0.4222222222222222
24,New York Magazine,Bernie,150,128.0,0.460431654676259
25,New York Magazine,Biden,386,345.0,0.4719562243502052
26,New York Magazine,Kamala,56,36.0,0.391304347826087
27,New York Magazine,Warren,197,163.0,0.4527777777777778
28,The New York Times,Bernie,138,110.0,0.4435483870967742
29,The New York Times,Biden,236,298.0,0.5580524344569289
30,The New York Times,Kamala,29,24.0,0.4528301886792453
31,The New York Times,Warren,159,145.0,0.4769736842105263
32,The Wall Street Journal,Bernie,13,14.0,0.5185185185185185
33,The Wall Street Journal,Biden,64,73.0,0.5328467153284672
34,The Wall Street Journal,Kamala,7,2.0,0.2222222222222222
35,The Wall Street Journal,Warren,36,39.0,0.52
36,The Washington Post,Bernie,1048,784.0,0.4279475982532751
37,The Washington Post,Biden,3062,2778.0,0.4756849315068493
38,The Washington Post,Kamala,499,316.0,0.38773006134969323
39,The Washington Post,Warren,1315,946.0,0.41839893852277754
