"","Bernie_Counts","Biden_Counts","Kamala_Counts","Warren_Counts"
"ed",2973,11592,1267,3531
"na",1323,4472,584,1624
"era",423,1528,205,554
"national",94,310,47,140
"ho",1648,6001,695,2075
"pit",173,270,48,153
"raw",36,92,18,46
"sat",44,595,24,56
"reign",33,653,22,59
"peak",78,302,34,71
"family",22,569,21,37
"x",998,2363,344,1234
"sly",40,255,28,65
"quiet",6,10,1,4
"rough",85,371,49,103
"di",1809,6254,656,2163
"sum",61,198,25,100
"nd",4443,10139,1299,3673
"care",339,255,53,456
"light",42,200,24,65
"yo",421,1402,202,514
"warn",22,84,4,28
"em",1537,5167,610,1846
"logic",24,17,7,20
"warning",4,32,1,9
"primary",152,294,37,186
"prim",174,330,40,208
"focused",5,97,11,33
"ridiculous",5,25,0,6
"plain",65,523,32,107
"straightforward",2,8,1,11
"fu",401,1219,142,554
"vague",6,13,0,16
"call",281,2128,155,384
"ant",375,1484,159,560
"thin",317,1385,108,466
"thou",124,494,41,184
"con",762,3336,309,1025
"view",134,570,60,163
"lion",374,706,83,284
"candid",451,916,184,523
"edge",60,282,18,90
"project",11,16,2,12
"gain",153,876,84,253
"fun",171,423,43,234
"sit",217,820,80,318
"experience",38,97,19,20
"spent",26,81,13,32
"approach",39,50,6,44
"attend",27,52,33,40
"net",83,229,50,73
"attended",9,15,14,13
"hopeful",40,105,36,36
"anal",16,49,9,24
"sky",6,1548,10,11
"oral",31,42,5,12
"strong",69,146,23,70
"attempt",18,230,17,33
"strongest",5,21,2,5
"sabotage",1,7,1,1
"low",302,980,141,281
"weak",12,54,2,19
"format",16,278,10,31
"racy",21,193,10,25
"opponent",28,213,8,35
"bus",68,1038,45,80
"bad",18,116,9,27
"dealing",9,735,7,5
"whistle",3,513,37,6
"lower",38,535,42,31
"deal",36,929,22,46
"great",44,147,11,47
"cut",73,1268,84,111
"horrible",0,51,1,0
"stubborn",0,3,0,1
"born",3,20,4,7
"rival",61,413,17,93
"joys",4,9,1,1
"enjoy",8,21,5,8
"supposed",11,50,2,20
"suppose",11,52,4,22
"cue",1,6,1,0
"picnic",0,2,0,0
"lose",86,261,32,91
"closer",6,18,2,7
"worse",9,29,7,11
"racist",16,18,10,1
"whos",20,179,18,29
"fired",5,200,3,29
"quest",139,991,62,248
"center",22,160,13,30
"complaint",9,369,17,18
"explosive",0,18,1,1
"oh",48,156,38,72
"cover",92,208,17,55
"chief",11,83,12,26
"lame",8,28,9,6
"facing",9,69,5,18
"tragedy",0,17,1,1
"natural",6,279,4,3
"relate",19,199,12,8
"fat",14,511,9,11
"father",3,498,5,10
"stark",2,12,1,8
"contrast",14,38,1,28
"flash",0,6,0,2
"respective",15,11,6,8
"van",65,334,35,59
"advantage",21,58,7,21
