,Bernie_Counts,Biden_Counts,Kamala_Counts,Warren_Counts,Total_by_word
lion,233,403,45,154,835
care,218,102,22,258,600
ant,178,589,79,244,1090
primary,131,228,31,147,537
low,98,144,34,116,392
rent,85,182,23,106,396
national,79,260,39,121,499
view,78,255,23,77,433
corporate,60,16,5,42,123
chest,58,9,0,10,77
least,57,90,15,58,220
best,54,107,14,60,235
shed,52,268,18,77,415
net,50,52,28,43,173
rough,49,195,26,60,330
strong,49,62,16,41,168
lack,47,175,69,61,352
call,45,812,23,55,935
lose,43,106,18,49,216
federal,40,70,11,38,159
fellow,37,40,10,47,134
half,34,72,8,24,138
gain,33,111,20,43,207
approach,32,34,4,28,98
reign,31,515,20,57,623
sly,30,173,24,56,283
cant,30,71,6,25,132
oral,28,32,4,9,73
doctors,28,0,0,0,28
marijuana,28,2,5,1,36
nature,27,13,3,12,55
spent,26,71,13,31,141
cut,26,40,3,29,98
social,25,43,12,38,118
noted,25,54,9,19,107
greed,25,31,7,15,78
edge,24,78,7,54,163
lower,24,241,20,21,306
ship,24,95,11,26,156
additional,24,17,2,17,60
hopeful,23,52,21,26,122
different,23,58,4,46,131
total,23,23,10,23,79
important,23,56,6,32,117
potential,23,217,10,40,290
nest,22,33,2,21,78
faced,22,67,7,40,136
economic,22,24,2,44,92
eliminate,22,7,2,6,37
losing,21,39,3,22,85
personal,21,247,12,23,303
thin,21,48,10,37,116
young,21,40,7,19,87
sit,20,80,2,21,123
individual,20,12,1,11,44
life,20,34,12,17,83
defeat,20,19,3,13,55
tour,20,6,8,6,40
present,19,22,10,16,67
sweeping,19,7,0,6,32
van,19,4,1,1,25
plain,18,53,8,44,123
oldest,18,7,3,7,35
damn,18,5,1,1,25
family,17,255,17,26,315
younger,17,152,3,7,179
nothing,17,181,15,16,229
formal,16,60,4,5,85
deal,16,69,6,25,116
bad,16,68,4,24,112
nary,16,26,4,6,52
peak,16,55,8,12,91
popular,16,24,7,21,68
email,16,29,5,8,58
human,16,10,2,10,38
great,15,34,5,30,84
trust,15,22,1,16,54
proud,15,7,7,4,33
prominent,15,19,2,4,40
strict,15,10,14,15,54
advantage,14,41,6,16,77
gun,14,80,15,37,146
funding,14,22,7,29,72
sometimes,14,24,3,10,51
wanted,14,122,11,21,168
powerful,14,15,5,10,44
signature,14,3,2,12,31
small,14,17,7,22,60
visit,13,55,1,7,76
spend,13,29,20,27,89
referred,13,25,5,16,59
TRUE,13,47,6,18,84
justice,13,33,41,15,102
looks,13,30,4,14,61
vigorous,13,1,1,1,16
raw,12,32,4,9,57
experience,12,42,12,11,77
distant,12,6,3,5,26
mean,12,40,2,17,71
brought,12,74,13,14,113
appropriate,12,52,0,13,77
impact,12,22,4,12,50
attempt,11,61,10,9,91
supposed,11,29,2,16,58
moderate,11,50,6,34,101
future,11,14,3,10,38
happy,11,22,3,6,42
tired,11,4,0,18,33
supporting,11,21,3,14,49
scare,11,1,1,0,13
chief,10,64,10,23,107
minimum,10,7,1,6,24
review,10,28,9,9,56
save,10,9,3,10,32
reality,10,21,2,14,47
represent,10,12,4,9,35
attended,9,13,14,13,49
racy,9,142,5,15,171
cover,9,59,3,14,85
lone,9,21,2,9,41
effective,9,19,2,12,42
immediate,9,12,1,6,28
love,9,18,8,13,48
light,9,82,10,21,122
striking,9,13,3,15,40
upcoming,9,7,4,6,26
guy,9,40,3,13,65
racist,9,6,9,1,25
modern,9,7,1,4,21
sat,9,30,1,4,44
broader,9,17,2,11,39
dated,9,23,2,5,39
affect,9,13,1,5,28
identify,9,1,0,3,13
vocal,9,8,3,4,24
greater,9,7,0,8,24
facing,8,55,5,18,86
familiar,8,81,3,15,107
discuss,8,74,3,15,100
highest,8,16,3,7,34
rant,8,13,10,7,38
live,8,10,8,12,38
acting,8,66,6,9,89
promising,8,12,3,13,36
